intreno;butxt;xauthgrp;syst_num;status;objname;tipob;validfrom;validto;priznas;region;bezei;home_city;city;zzcitydistr;city2;region_city;street;num;vidpr;zz_vidpr;zz_spost;zz_peref;zz_dnperp;zz_doperp;currtxt;elorgst_text;blktx;grpodr;vsp_num;vsp_name;statisp;curpriz;podrvalfrom;podrvalto;zz_objcat;zzelorgst_text;orgunit_text;blkid_easup_txt;statusesq;zz_priznas;segmentt;subsegmentt;irrate_ch;elorgst;grpodr_;usgfunction;xmusgfunction;zz_prport;zz_prpl;k4_koef_ch;first_line_house;posnr;bukrs;objnr;zz_klasz;objnr_ao;factusing;branc;segment;obsh_plosh;osnov_plosh;vspom_plosh;proch_plosh;plosh_v_ar;neis_plosh;osn_obsh;vspom_obsh;org_pm;teh_pm;balans_v;ostat_v;rinoch_v;arend_st;no_nds_st;nds;obespech;val_arend_st;val_no_nds_st;val_nds;perem_ap;obespech_z;schet_podr;vspplp;vspshch;obespech_p;schet_zdn;neis_square;orgunit;blkid_easup;orgunit_square;quan;irrate;k4_koef;zz_lattitude;zz_longitude;ctl_action;ctl_validfrom;ctl_validto;ctl_pa_loading;archive_name;file_name;ctl_loading
IB00100000002;Уральский банк;Свердловское отд. №7003;1600/1/2;В пользовании; СДОФЛ № 7003/0856;Здание/помещение  (нежилое);2007-10-01;9999-12-31;Д – город с населением <100 тыс. жителей;66;обл Свердловская;;г Карпинск;;;;ул Мира;50а;Аренда (коммерческая соб-ть);03;Договор аренды (субаренды);Переформатирование завершено;2015-01-01;2015-12-14;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-03-30;B;ВСП РБ: Базовое подразделение;СОФЛДО №7003/0856;Сеть продаж;Используется;04;Ритейл;Ритейл - стритритейл, ВПП;-;01;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000002;05;I000000000000000828711;06;7003;06;162.5000;113.0000;49.5000;0.0000;0.0000;0.0000;69.5385;30.4615;0.0000;0.0000;0.0000;0.0000;0.0000;0.550800;0.550800;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;20.3125;1;0.0000;0.0000;9.9000;0;0.0000;10205307;38;79.2000;8.0000;0.00;1.0000000000;59.766528;59.998129;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000007;Уральский банк;Башкирское отд. №8598;1600/1/7;В пользовании;ДО № 8598/0322;Сооружение с площадью;2011-01-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Учалинский;;;с Миндяк;;ул Уфимская;1а;Аренда (коммерческая соб-ть);03;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Спец по обслуж физ лиц ДО №8598/0322;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000007;05;I000000000000000830086;06;8598;06;29.5000;29.5000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.305640;0.305640;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;29.5000;1;0.0000;0.0000;29.5000;0;0.0000;10280436;38;29.5000;1.0000;0.00;1.0000000000;54.018838;58.790466;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000009;Уральский банк;Башкирское отд. №8598;1600/1/9;В пользовании;ДО № 8598/0324;Сооружение с площадью;2010-01-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Учалинский;;;с Уральск;;ул Советская;зд6;Аренда (коммерческая соб-ть);03;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Спец по обслуж физ лиц ДО №8598/0324;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000009;05;I000000000000000832137;06;8598;06;19.7000;19.7000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.276000;0.226229;0.049770;0.000000;0.000000;0.000000;0.000000;0.000000;19.7000;1;0.0000;0.0000;19.7000;0;0.0000;10280437;38;19.7000;1.0000;0.00;1.0000000000;54.122442;59.125328;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000023;Уральский банк;Башкирское отд. №8598;1600/1/23;В пользовании;ДО № 8598/0420;Здание/помещение  (нежилое);2012-07-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Чекмагушевский;;;с Калмашбашево;;ул Центральная;122;Аренда (коммерческая соб-ть);03;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Спец по обслуж физ лиц ДО №8598/0420;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000023;05;I000000000000000830309;06;8598;06;18.0000;18.0000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;18.0000;1;0.0000;0.0000;18.0000;0;0.0000;10280464;38;18.0000;1.0000;0.00;1.0000000000;55.005457;54.602648;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000024;Уральский банк;Башкирское отд. №8598;1600/1/24;В пользовании;ДО № 8598/0413;Здание/помещение  (нежилое);2007-01-15;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Чекмагушевский;;;с Старокалмашево;;ул Мира;зд1;Аренда (гос. соб-ть);04;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Спец по обслуж физ лиц ДО №8598/0413;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000024;04;I000000000000000830870;06;8598;06;16.3000;16.3000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.397114;0.325503;0.071610;0.000000;0.000000;0.000000;0.000000;0.000000;16.3000;1;0.0000;0.0000;16.3000;0;0.0000;10280462;38;16.3000;1.0000;0.00;1.0000000000;55.121635;54.822121;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000025;Уральский банк;Башкирское отд. №8598;1600/1/25;В пользовании;ДО № 8598/0406;Здание/помещение  (нежилое);2011-10-03;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Чекмагушевский;;;с Имянликулево;;ул Школьная;зд2;Аренда (коммерческая соб-ть);03;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Спец по обслуж физ лиц ДО №8598/0406;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000025;04;I000000000000000830105;06;8598;06;45.6000;45.6000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.287764;0.235872;0.051890;0.000000;0.000000;0.000000;0.000000;0.000000;45.6000;1;0.0000;0.0000;45.6000;0;0.0000;10280461;38;45.6000;1.0000;0.00;1.0000000000;55.284326;54.658871;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000035;Уральский банк;Башкирское отд. №8598;1600/1/35;В пользовании;СДО № 8598/0414;Здание/помещение  (нежилое);2009-01-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Бакалинский;;;с Урманаево;;ул Центральная;1А;Аренда (гос. соб-ть);04;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Специализированный доп. офис №8598/0414;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000035;04;I000000000000000828784;06;8598;06;14.6000;14.6000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.218362;0.178985;0.039380;0.000000;0.000000;0.000000;0.000000;0.000000;14.6000;1;0.0000;0.0000;14.6000;0;0.0000;10294666;38;14.6000;1.0000;0.00;1.0000000000;54.925501;53.529621;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000037;Уральский банк;Башкирское отд. №8598;1600/1/37;В пользовании;СДО № 8598/0410;Здание/помещение  (нежилое);2009-01-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Бакалинский;;;с Дияшево;;ул Школьная;54;Аренда (коммерческая соб-ть);03;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Специализированный доп. офис №8598/0410;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000037;04;I000000000000000828782;06;8598;06;18.5000;18.5000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.190864;0.156446;0.034420;0.000000;0.000000;0.000000;0.000000;0.000000;18.5000;1;0.0000;0.0000;18.5000;0;0.0000;10294665;38;18.5000;1.0000;0.00;1.0000000000;55.079035;53.647973;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000038;Уральский банк;Башкирское отд. №8598;1600/1/38;В пользовании;СДО № 8598/0409;Здание/помещение  (нежилое);2009-01-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Бакалинский;;;с Старокуручево;;ул Центральная;23;Аренда (гос. соб-ть);04;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Специализированный доп. офис №8598/0409;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000038;05;I000000000000000828781;06;8598;06;17.1000;17.1000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.214722;0.176002;0.038720;0.000000;0.000000;0.000000;0.000000;0.000000;17.1000;1;0.0000;0.0000;17.1000;0;0.0000;10294664;38;17.1000;1.0000;0.00;1.0000000000;55.136959;54.059533;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100000040;Уральский банк;Башкирское отд. №8598;1600/1/40;В пользовании;ДО № 8598/0403;Здание/помещение  (нежилое);2007-01-01;9999-12-31;СМ- сельская местность;02;Респ Башкортостан;р-н Чекмагушевский;;;с Старобаширово;;ул М.Хузина;36стр1;Аренда (гос. соб-ть);04;Договор аренды (субаренды);Объекты в плане следующих лет;;;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;D;ВСП РБ: Непереформатированные ВСП;Спец по обслуж физ лиц ДО №8598/0403;Сеть продаж;Используется;05;Ритейл;Ритейл - стритритейл, ВПП;-;10;01;01;Служебное;X;;-;X;0000000000;1600;IB16000000000100000040;05;I000000000000000828804;06;8598;06;16.1000;16.1000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.278214;0.228044;0.050170;0.000000;0.000000;0.000000;0.000000;0.000000;16.1000;1;0.0000;0.0000;16.1000;0;0.0000;10280459;38;16.1000;1.0000;0.00;1.0000000000;55.093452;55.055606;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
